time,torso_tx,torso_ty,torso_tz,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,end_eff_tx,end_eff_ty,end_eff_tz,goal_tx,goal_ty,goal_tz,elbow_tx,elbow_ty,elbow_tz
0.63,331.63894,499.95178,380.30269,-3.5897579,5.2321515,-4.1444793,8.0230799,-32.866325,22.144802,55.766811,108.96171,537.85261,127.76228,556.15553,1104.4511,673.22792,512.77882,193.58329,310.13406,695.71161
0.64,331.6972,499.94911,380.42305,-3.581928,5.2235641,-4.1859131,8.0421772,-32.833858,22.141319,55.714699,108.93296,537.83112,127.81283,556.28988,1104.4521,673.22784,512.78122,193.44817,310.13635,695.59531
0.65,331.75762,499.98574,380.53549,-3.587188,5.2035918,-4.2079968,8.0527983,-32.797501,22.121138,55.682327,109.01446,537.83396,127.83544,556.48255,1104.4643,673.23703,512.78228,193.2936,310.14021,695.46954
0.66,331.82177,500.02446,380.62493,-3.5899808,5.1887341,-4.2369156,8.0456085,-32.737247,22.09374,55.657223,109.01633,537.79381,127.86455,556.6067,1104.4536,673.23244,512.775,193.12718,310.11061,695.33309
0.67,331.89807,500.0613,380.72297,-3.6029253,5.1958752,-4.2718287,8.0581083,-32.721107,22.070488,55.635288,109.087,537.797,127.90997,556.80941,1104.4558,673.24699,512.79006,192.93254,310.0797,695.2353
0.68,331.96269,500.06945,380.80711,-3.5231397,5.1830664,-4.3148546,7.9642987,-32.661621,22.021118,55.620148,109.0555,537.76741,127.91812,556.95206,1104.4512,673.23018,512.78948,192.7762,310.05519,695.12065
0.69,332.03859,500.09181,380.90771,-3.5545113,5.2034245,-4.3447351,7.9879608,-32.631454,21.969038,55.604752,109.08179,537.73701,127.93693,557.10419,1104.4472,673.25405,512.77329,192.54953,310.03885,694.98873
0.7,332.11122,500.12483,380.96776,-3.5678079,5.2154875,-4.3769684,7.9971337,-32.629517,21.938076,55.611595,109.10996,537.77113,127.97338,557.29108,1104.4353,673.22154,512.77535,192.40273,309.93183,694.84782
0.71,332.20552,500.1532,381.09718,-3.5096135,5.1854172,-4.3936977,7.8941669,-32.537075,21.838037,55.614841,109.02512,537.77049,127.99065,557.45313,1104.441,673.23565,512.77913,192.20059,309.85359,694.6941
0.72,332.28056,500.12107,381.17716,-3.5254562,5.1980734,-4.4173841,7.8659253,-32.505951,21.78096,55.622887,109.06624,537.76768,127.9767,557.62392,1104.4357,673.24035,512.77111,192.017,309.7942,694.57378
0.73,332.36509,500.10968,381.23828,-3.5614409,5.2145014,-4.4406219,7.898623,-32.496063,21.747198,55.573845,109.21889,537.75819,127.9445,557.78267,1104.4466,673.2307,512.77882,191.8623,309.74738,694.46258
0.74,332.44349,500.07699,381.31517,-3.5594378,5.21948,-4.4695215,7.8799963,-32.456871,21.724987,55.581764,109.11969,537.80922,127.99339,557.93433,1104.4463,673.23377,512.7697,191.71512,309.64295,694.35846
0.75,332.53274,500.05913,381.37861,-3.5628121,5.2200351,-4.4791408,7.8583984,-32.439629,21.664469,55.571541,109.28387,537.79963,127.94613,558.08052,1104.4408,673.224,512.77754,191.59389,309.57844,694.248
0.76,332.63629,500.03243,381.42998,-3.5761783,5.2409072,-4.5238271,7.8835831,-32.431717,21.669071,55.576088,109.30504,537.81141,127.9594,558.17547,1104.4593,673.26047,512.78437,191.47403,309.47372,694.16022
0.77,332.74691,500.00267,381.50411,-3.6226599,5.2761621,-4.558085,7.941349,-32.454494,21.672384,55.575413,109.30145,537.81592,127.98561,558.24873,1104.4349,673.21943,512.7777,191.38216,309.44724,694.10015
0.78,332.82549,499.93898,381.55749,-3.6658523,5.2964554,-4.5871801,7.9787788,-32.456348,21.670496,55.603535,109.16331,537.78858,127.97614,558.28139,1104.4555,673.24088,512.7833,191.25472,309.40523,694.05078
0.79,332.96033,499.92741,381.65076,-3.7044146,5.3174796,-4.6089816,8.0571308,-32.438099,21.678019,55.564152,109.1879,537.8141,128.0083,558.35281,1104.4394,673.24126,512.78063,191.20679,309.3125,694.03193
0.8,333.06538,499.88409,381.6815,-3.7284539,5.3389468,-4.6445141,8.0715866,-32.45277,21.669641,55.579865,109.17898,537.84032,128.06029,558.37419,1104.4375,673.22993,512.76361,191.12182,309.2475,694.01098
0.81,333.20202,499.82955,381.73492,-3.7482409,5.3423095,-4.6596146,8.0629559,-32.451962,21.67193,55.604397,109.19279,537.83852,128.03235,558.41331,1104.4369,673.2248,512.76574,191.08449,309.16964,694.00395
0.82,333.30609,499.75021,381.74732,-3.7705851,5.3859715,-4.6854792,8.0834875,-32.487797,21.67968,55.596024,109.14338,537.86733,128.07496,558.45209,1104.4389,673.22511,512.76972,191.00063,309.13383,694.02471
